Pressure,Height,Temperature,Dew_Point,Relative_Humidity,Mixing_Ratio,Wind_Direction,Wind_Speed,THTA,THTE,THTV
34,23024,-62.2,-86.2,3,0.01,270,10,554.4,554.5,554.4
33.4,23134,-61.9,-85.9,3,0.01,267,9,557.9,558,557.9
33,23209,-61.9,-85.9,3,0.01,265,8,559.9,559.9,559.9
32.6,23284,-61.9,-85.9,3,0.01,276,9,561.8,561.9,561.8
31.5,23497,-61.5,-85.5,3,0.01,306,11,568.4,568.5,568.4
31,23596,-61.2,-85.2,3,0.01,320,12,571.7,571.8,571.7
30,23800,-60.7,-84.7,3,0.01,290,7,578.6,578.7,578.6
29.8,23842,-60.7,-84.7,3,0.01,284,8,579.7,579.8,579.7
29,24011,-60.7,-84.7,3,0.01,260,10,584.2,584.3,584.2
28.7,24076,-60.7,-84.7,3,0.01,261,11,586,586,586
28,24230,-60.7,-84.7,3,0.01,265,12,590.1,590.2,590.1
27,24459,-59.1,-83.5,3,0.01,305,8,600.7,600.8,600.7
26,24696,-57.5,-82.3,3,0.02,250,9,611.8,612,611.8
25.4,24843,-56.5,-81.5,3,0.02,259,10,618.8,619,618.8
25,24944,-56.1,-81.1,3,0.02,265,10,622.8,623,622.8
24,25205,-55,-80,3,0.03,275,15,633.3,633.5,633.3
23.4,25366,-54.3,-79.3,3,0.03,272,24,639.9,640.2,639.9
23,25477,-54.6,-79.6,3,0.03,270,30,642.2,642.5,642.2
22,25761,-55.3,-80.3,3,0.03,275,23,648.4,648.6,648.4
21.4,25938,-55.7,-80.7,3,0.03,269,21,652.2,652.5,652.2
21,26058,-55.5,-80.5,3,0.03,265,20,656.3,656.6,656.3
20.6,26181,-55.3,-80.3,3,0.03,265,22,660.6,660.9,660.6
20,26370,-55.1,-80.1,3,0.03,265,24,666.8,667.1,666.8
19.6,26499,-54.7,-79.7,3,0.04,267,22,671.9,672.2,671.9
19,26698,-54.5,-79.5,3,0.04,270,20,678.4,678.8,678.4
18.9,26731,-54.5,-79.5,3,0.04,270,22,679.5,679.9,679.5
18,27043,-55,-79.2,3,0.04,275,38,687.6,688.1,687.6
17.7,27150,-55.1,-79.1,4,0.04,269,36,690.5,690.9,690.5
17.5,27223,-55.1,-79.1,4,0.04,265,34,692.7,693.1,692.7
17,27410,-54,-78.8,3,0.05,255,30,701.8,702.3,701.9
16,27800,-51.9,-78.1,3,0.06,245,43,721.2,721.9,721.3
15.5,28005,-50.7,-77.7,3,0.06,255,45,731.6,732.3,731.6
15,28219,-49.8,-76.8,3,0.07,265,48,741.5,742.3,741.5
14.1,28624,-48.1,-75.1,3,0.1,265,49,760.5,761.6,760.5
14,28671,-48.2,-75.1,3,0.1,265,49,761.8,762.9,761.8
13,29157,-48.9,-75.5,3,0.1,270,59,775.4,776.6,775.5
12,29681,-49.8,-75.9,3,0.11,265,61,790.5,791.7,790.5
11.6,29903,-50.1,-76.1,3,0.11,263,61,796.9,798.1,797
11,30252,-48.7,-74.7,3,0.14,260,60,814.3,815.9,814.4
10.3,30684,-46.9,-72.9,4,0.19,267,62,836.3,838.6,836.4
